m,k,n,tile_m,tile_k_l2,tile_k_l1,tile_n,latency avg,latency max,latency min
1024,1024,1024,128,64,16,128,4371.25,4592.0,4096.0
1024,1024,1024,128,64,8,128,5768.9,5968.0,5491.0
1024,1024,1024,64,64,64,64,6478.85,6749.0,6337.0
1024,1024,1024,64,64,16,256,4266.75,4539.0,4046.0
1024,1024,1024,64,64,16,128,4383.2,4531.0,4200.0
1024,1024,1024,128,64,16,64,4541.1,4686.0,4304.0
1024,1024,1024,64,64,16,64,4398.0,4809.0,4250.0
1024,1024,1024,64,64,8,256,5546.6,6766.0,5325.0
1024,1024,1024,64,64,32,128,6247.7,6452.0,5989.0
1024,1024,1024,128,64,32,64,6358.25,6618.0,6087.0
2048,1024,1024,128,64,16,128,8430.75,8666.0,8056.0
2048,1024,1024,128,64,8,128,11031.7,11335.0,10751.0
2048,1024,1024,64,64,64,64,12487.2,12689.0,12083.0
2048,1024,1024,64,64,16,256,8260.25,8572.0,7995.0
2048,1024,1024,256,64,16,64,8628.9,9015.0,8475.0
2048,1024,1024,64,64,16,128,8392.0,8640.0,8112.0
2048,1024,1024,128,64,16,64,8772.05,9010.0,8492.0
2048,1024,1024,64,64,16,64,8778.25,8905.0,8496.0
2048,1024,1024,64,64,8,256,10918.5,11566.0,10577.0
2048,1024,1024,256,64,8,64,11122.6,11562.0,10827.0
2048,2048,1024,128,64,16,128,16478.8,16815.0,15931.0
2048,2048,1024,128,64,8,128,21844.1,22206.0,21334.0
2048,2048,1024,64,64,64,64,24508.3,25039.0,24041.0
2048,2048,1024,64,64,16,256,16233.7,16740.0,15886.0
2048,2048,1024,256,64,16,64,16777.3,17217.0,16366.0
2048,2048,1024,64,64,16,128,16293.2,16792.0,15916.0
2048,2048,1024,128,64,16,64,17102.2,17564.0,16655.0
2048,2048,1024,64,64,16,64,17145.4,18165.0,16493.0
2048,2048,1024,64,64,8,256,21347.9,21826.0,20978.0
2048,2048,1024,256,64,8,64,21993.7,22320.0,21708.0
2048,2048,2048,128,64,16,128,32254.4,32791.0,31762.0
2048,2048,2048,128,64,8,128,43251.6,43850.0,42823.0
2048,2048,2048,64,64,64,64,48610.3,49045.0,48135.0
2048,2048,2048,64,64,16,256,31970.2,32505.0,31429.0
2048,2048,2048,256,64,16,64,32892.6,33146.0,32290.0
2048,2048,2048,64,64,16,128,32334.4,32942.0,31568.0
2048,2048,2048,128,64,16,64,33814.5,34571.0,33288.0
2048,2048,2048,64,64,16,64,33514.0,33999.0,33024.0
2048,2048,2048,64,64,8,256,41934.1,42307.0,41563.0
2048,2048,2048,256,64,8,64,43183.9,43717.0,42520.0
4096,2048,2048,128,64,16,128,63891.6,64515.0,63492.0
4096,2048,2048,128,64,8,128,85747.5,86206.0,85003.0
4096,2048,2048,64,64,64,64,96012.5,96238.0,95533.0
4096,2048,2048,64,64,16,256,63263.2,63587.0,62947.0
4096,2048,2048,256,64,16,64,65231.9,65873.0,64715.0
4096,2048,2048,64,64,16,128,63777.9,64310.0,63420.0
4096,2048,2048,128,64,16,64,66517.0,67090.0,65933.0
4096,2048,2048,64,64,16,64,66271.2,66766.0,65913.0
4096,2048,2048,64,64,8,256,83227.3,83960.0,82788.0
4096,2048,2048,256,64,8,64,85589.8,86224.0,85175.0
4096,4096,2048,128,64,16,128,63658.0,63948.0,63350.0
4096,4096,2048,64,64,64,64,190416.0,190736.0,189888.0
4096,4096,2048,64,64,16,256,125370.0,125760.0,124809.0
4096,4096,2048,256,64,16,64,128769.0,128940.0,128362.0
4096,4096,2048,64,64,16,128,125957.0,126278.0,125459.0
4096,4096,2048,128,64,16,64,131679.0,131980.0,131070.0
4096,4096,2048,64,64,16,64,130624.0,131198.0,130153.0
4096,4096,2048,64,64,8,256,165100.0,165369.0,164629.0
4096,4096,2048,256,64,8,64,169667.0,169898.0,169382.0
4096,4096,2048,64,64,32,128,187068.0,187592.0,186537.0
4096,4096,4096,128,64,16,128,252426.0,252974.0,252037.0
4096,4096,4096,64,64,64,64,379980.0,380347.0,379153.0
4096,4096,4096,64,64,16,256,249943.0,250314.0,249601.0
4096,4096,4096,256,64,16,64,256764.0,257030.0,256367.0
4096,4096,4096,64,64,16,128,251071.0,251485.0,250696.0
4096,4096,4096,128,64,16,64,262559.0,262941.0,262204.0
4096,4096,4096,64,64,16,64,260215.0,260445.0,259503.0
4096,4096,4096,64,64,8,256,329436.0,329741.0,329084.0
4096,4096,4096,256,64,8,64,338457.0,338661.0,338115.0
4096,4096,4096,64,64,32,128,372997.0,373337.0,372431.0
